MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_Geometric_SMOTE,SGD,NONE,NONE,0.124,0.22800000000000004,0.7739999999999999,0.146,0.12000000000000002,0.052000000000000005
PCA,contraceptive,_Geometric_SMOTE,SVM,NONE,NONE,0.19,0.22800000000000004,0.772,0.084,0.024,0.0
PCA,contraceptive,_SMOTE,ABC,NONE,NONE,0.2,0.22199999999999998,0.8080000000000002,0.21000000000000002,0.28600000000000003,0.15200000000000002
PCA,contraceptive,_SMOTE,DTREE,NONE,NONE,0.192,0.20800000000000002,0.804,0.196,0.28,0.136
PCA,contraceptive,_SMOTE,GNB,NONE,NONE,0.196,0.18,0.85,0.19,0.27,0.132
PCA,contraceptive,_SMOTE,KNN,NONE,NONE,0.194,0.20400000000000001,0.8160000000000001,0.194,0.276,0.136
PCA,contraceptive,_SMOTE,LRG,NONE,NONE,0.202,0.258,0.7740000000000001,0.21600000000000003,0.294,0.15200000000000002
PCA,contraceptive,_SMOTE,MLP,NONE,NONE,0.20800000000000002,0.22800000000000004,0.8140000000000001,0.21400000000000002,0.29200000000000004,0.15800000000000003
PCA,contraceptive,_SMOTE,QDA,NONE,NONE,0.21400000000000002,0.16999999999999998,0.86,0.186,0.264,0.128
PCA,contraceptive,_SMOTE,RF,NONE,NONE,0.198,0.22800000000000004,0.794,0.21000000000000002,0.28800000000000003,0.15000000000000002
PCA,contraceptive,_SMOTE,SGD,NONE,NONE,0.132,0.22800000000000004,0.778,0.162,0.17600000000000002,0.08399999999999999
PCA,contraceptive,_SMOTE,SVM,NONE,NONE,0.156,0.22800000000000004,0.77,0.084,0.028000000000000004,0.002
PCA,contraceptive,_delaunay_area_1,ABC,area,1,0.198,0.23200000000000004,0.804,0.21000000000000002,0.28800000000000003,0.15400000000000003
PCA,contraceptive,_delaunay_area_1,DTREE,area,1,0.182,0.198,0.798,0.186,0.272,0.128
PCA,contraceptive,_delaunay_area_1,GNB,area,1,0.202,0.192,0.842,0.196,0.274,0.136
PCA,contraceptive,_delaunay_area_1,KNN,area,1,0.19999999999999998,0.20600000000000002,0.8160000000000001,0.196,0.278,0.138
PCA,contraceptive,_delaunay_area_1,LRG,area,1,0.20600000000000002,0.264,0.776,0.21799999999999997,0.29400000000000004,0.15200000000000002
PCA,contraceptive,_delaunay_area_1,MLP,area,1,0.20400000000000001,0.22800000000000004,0.812,0.21400000000000002,0.29000000000000004,0.15800000000000003
PCA,contraceptive,_delaunay_area_1,QDA,area,1,0.21200000000000002,0.176,0.852,0.192,0.268,0.134
