,ARQUIVO,WINER
76,pca_media_rank_biclasse_radius_ratio_4_DTREE_iba.csv,SMOTE_SVM
77,pca_media_rank_biclasse_solid_angle_9_LRG_f1.csv,SMOTE_SVM
78,pca_media_rank_biclasse_min_solid_angle_1_SGD_auc.csv,SMOTE
79,pca_media_rank_biclasse_edge_ratio_4_GNB_auc.csv,SMOTE
80,pca_media_rank_biclasse_area_volume_ratio_9_RF_f1.csv,SMOTE_SVM
81,pca_media_rank_biclasse_aspect_ratio_4_LRG_auc.csv,BORDERLINE1
82,pca_media_rank_biclasse_aspect_ratio_4_KNN_auc.csv,BORDERLINE1
83,pca_media_rank_biclasse_area_9_MLP_f1.csv,SMOTE_SVM
84,pca_media_rank_biclasse_solid_angle_1_LRG_geo.csv,BORDERLINE1
85,pca_media_rank_biclasse_aspect_ratio_1_MLP_iba.csv,BORDERLINE2
86,pca_media_rank_biclasse_aspect_ratio_4_SVM_iba.csv,SMOTE
87,pca_media_rank_biclasse_volume_1_SGD_auc.csv,SMOTE
88,pca_media_rank_biclasse_min_solid_angle_9_LRG_geo.csv,BORDERLINE1
89,pca_media_rank_biclasse_area_volume_ratio_1_SGD_auc.csv,SMOTE
90,pca_media_rank_biclasse_area_4_SVM_geo.csv,SMOTE
91,pca_media_rank_biclasse_area_1_DTREE_f1.csv,ORIGINAL
92,pca_media_rank_biclasse_area_1_GNB_f1.csv,ORIGINAL
93,pca_media_rank_biclasse_area_1_SVM_auc.csv,SMOTE
94,pca_media_rank_biclasse_area_9_LRG_f1.csv,SMOTE_SVM
95,pca_media_rank_biclasse_edge_ratio_4_KNN_geo.csv,DELAUNAY
96,pca_media_rank_biclasse_max_solid_angle_9_QDA_iba.csv,DELAUNAY
97,pca_media_rank_biclasse_min_solid_angle_1_ABC_f1.csv,SMOTE_SVM
98,pca_media_rank_biclasse_area_volume_ratio_1_ABC_auc.csv,SMOTE_SVM
99,pca_media_rank_biclasse_min_solid_angle_1_LRG_auc.csv,BORDERLINE1
100,pca_media_rank_biclasse_volume_4_QDA_iba.csv,SMOTE
101,pca_media_rank_biclasse_volume_9_SVM_auc.csv,SMOTE
102,pca_media_rank_biclasse_radius_ratio_4_KNN_f1.csv,ORIGINAL
103,pca_media_rank_biclasse_min_solid_angle_1_SGD_f1.csv,SMOTE
104,pca_media_rank_biclasse_aspect_ratio_9_RF_auc.csv,BORDERLINE2
105,pca_media_rank_biclasse_radius_ratio_1_ABC_auc.csv,SMOTE_SVM
106,pca_media_rank_biclasse_max_solid_angle_4_LRG_f1.csv,SMOTE_SVM
107,pca_media_rank_biclasse_volume_4_DTREE_geo.csv,SMOTE_SVM
108,pca_media_rank_biclasse_solid_angle_9_QDA_geo.csv,DELAUNAY
109,pca_media_rank_biclasse_min_solid_angle_4_MLP_auc.csv,DELAUNAY
110,pca_media_rank_biclasse_min_solid_angle_9_SVM_f1.csv,SMOTE
111,pca_media_rank_biclasse_area_volume_ratio_9_SGD_auc.csv,SMOTE
112,pca_media_rank_biclasse_solid_angle_9_KNN_geo.csv,DELAUNAY
113,pca_media_rank_biclasse_aspect_ratio_1_KNN_f1.csv,ORIGINAL
114,pca_media_rank_biclasse_area_volume_ratio_1_MLP_f1.csv,SMOTE_SVM
115,pca_media_rank_biclasse_radius_ratio_4_MLP_geo.csv,SMOTE
116,pca_media_rank_biclasse_radius_ratio_4_QDA_auc.csv,SMOTE_SVM
117,pca_media_rank_biclasse_solid_angle_4_LRG_iba.csv,BORDERLINE1
118,pca_media_rank_biclasse_area_4_SVM_auc.csv,SMOTE
119,pca_media_rank_biclasse_area_volume_ratio_4_DTREE_auc.csv,SMOTE_SVM
120,pca_media_rank_biclasse_volume_9_SGD_iba.csv,SMOTE
121,pca_media_rank_biclasse_area_volume_ratio_9_ABC_geo.csv,DELAUNAY
122,pca_media_rank_biclasse_solid_angle_9_SGD_iba.csv,SMOTE
123,pca_media_rank_biclasse_min_solid_angle_1_KNN_auc.csv,BORDERLINE1
124,pca_media_rank_biclasse_max_solid_angle_4_LRG_auc.csv,BORDERLINE1
125,pca_media_rank_biclasse_min_solid_angle_9_ABC_f1.csv,SMOTE_SVM
126,pca_media_rank_biclasse_volume_4_MLP_geo.csv,BORDERLINE2
127,pca_media_rank_biclasse_edge_ratio_9_MLP_f1.csv,SMOTE_SVM
128,pca_media_rank_biclasse_area_volume_ratio_4_SVM_iba.csv,SMOTE
129,pca_media_rank_biclasse_max_solid_angle_4_DTREE_auc.csv,SMOTE_SVM
130,pca_media_rank_biclasse_area_volume_ratio_9_QDA_iba.csv,DELAUNAY
131,pca_media_rank_biclasse_volume_1_RF_auc.csv,BORDERLINE2
132,pca_media_rank_biclasse_edge_ratio_1_DTREE_auc.csv,SMOTE_SVM
133,pca_media_rank_biclasse_max_solid_angle_9_SVM_geo.csv,SMOTE
134,pca_media_rank_biclasse_area_1_RF_geo.csv,BORDERLINE2
