ID,DATASET,FOLD,PREPROC,ALGORITHM,MODE,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
contraceptive__delaunay_PCA_edge_ratio_4_SGD,contraceptive,0,_delaunay_edge_ratio_4,SGD,PCA,edge_ratio,4,0.17,0.21,0.78,0.10,0.11,0.02
contraceptive__delaunay_PCA_edge_ratio_9_RF,contraceptive,0,_delaunay_edge_ratio_9,RF,PCA,edge_ratio,9,0.19,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_edge_ratio_9_KNN,contraceptive,0,_delaunay_edge_ratio_9,KNN,PCA,edge_ratio,9,0.18,0.17,0.81,0.17,0.26,0.11
contraceptive__delaunay_PCA_edge_ratio_9_DTREE,contraceptive,0,_delaunay_edge_ratio_9,DTREE,PCA,edge_ratio,9,0.17,0.19,0.79,0.17,0.26,0.12
contraceptive__delaunay_PCA_edge_ratio_9_GNB,contraceptive,0,_delaunay_edge_ratio_9,GNB,PCA,edge_ratio,9,0.17,0.17,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_edge_ratio_9_LRG,contraceptive,0,_delaunay_edge_ratio_9,LRG,PCA,edge_ratio,9,0.20,0.24,0.77,0.21,0.29,0.14
contraceptive__delaunay_PCA_edge_ratio_9_ABC,contraceptive,0,_delaunay_edge_ratio_9,ABC,PCA,edge_ratio,9,0.20,0.19,0.82,0.19,0.27,0.14
contraceptive__delaunay_PCA_edge_ratio_9_MLP,contraceptive,0,_delaunay_edge_ratio_9,MLP,PCA,edge_ratio,9,0.20,0.21,0.81,0.20,0.28,0.14
contraceptive__delaunay_PCA_edge_ratio_9_QDA,contraceptive,0,_delaunay_edge_ratio_9,QDA,PCA,edge_ratio,9,0.20,0.17,0.84,0.18,0.26,0.13
contraceptive__delaunay_PCA_edge_ratio_9_SVM,contraceptive,0,_delaunay_edge_ratio_9,SVM,PCA,edge_ratio,9,0.05,0.23,0.77,0.08,0.00,0.00
contraceptive__delaunay_PCA_edge_ratio_9_SGD,contraceptive,0,_delaunay_edge_ratio_9,SGD,PCA,edge_ratio,9,0.21,0.05,0.91,0.08,0.16,0.04
contraceptive__delaunay_PCA_radius_ratio_1_RF,contraceptive,0,_delaunay_radius_ratio_1,RF,PCA,radius_ratio,1,0.20,0.22,0.79,0.20,0.28,0.14
contraceptive__delaunay_PCA_radius_ratio_1_KNN,contraceptive,0,_delaunay_radius_ratio_1,KNN,PCA,radius_ratio,1,0.18,0.17,0.81,0.16,0.25,0.11
contraceptive__delaunay_PCA_radius_ratio_1_DTREE,contraceptive,0,_delaunay_radius_ratio_1,DTREE,PCA,radius_ratio,1,0.17,0.18,0.79,0.17,0.26,0.12
