ID,DATASET,FOLD,PREPROC,ALGORITHM,MODE,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
contraceptive__Geometric_SMOTE_RF,contraceptive,0,_Geometric_SMOTE,RF,PCA,NONE,NONE,0.19,0.21,0.78,0.20,0.28,0.14
contraceptive__Geometric_SMOTE_KNN,contraceptive,0,_Geometric_SMOTE,KNN,PCA,NONE,NONE,0.19,0.17,0.82,0.17,0.26,0.11
contraceptive__Geometric_SMOTE_DTREE,contraceptive,0,_Geometric_SMOTE,DTREE,PCA,NONE,NONE,0.18,0.20,0.80,0.19,0.28,0.13
contraceptive__Geometric_SMOTE_GNB,contraceptive,0,_Geometric_SMOTE,GNB,PCA,NONE,NONE,0.17,0.18,0.81,0.17,0.25,0.12
contraceptive__Geometric_SMOTE_LRG,contraceptive,0,_Geometric_SMOTE,LRG,PCA,NONE,NONE,0.20,0.25,0.76,0.21,0.29,0.15
contraceptive__Geometric_SMOTE_ABC,contraceptive,0,_Geometric_SMOTE,ABC,PCA,NONE,NONE,0.20,0.22,0.81,0.21,0.28,0.15
contraceptive__Geometric_SMOTE_MLP,contraceptive,0,_Geometric_SMOTE,MLP,PCA,NONE,NONE,0.20,0.22,0.81,0.21,0.28,0.15
contraceptive__Geometric_SMOTE_QDA,contraceptive,0,_Geometric_SMOTE,QDA,PCA,NONE,NONE,0.20,0.18,0.82,0.19,0.27,0.13
contraceptive__Geometric_SMOTE_SVM,contraceptive,0,_Geometric_SMOTE,SVM,PCA,NONE,NONE,0.05,0.23,0.77,0.08,0.00,0.00
contraceptive__Geometric_SMOTE_SGD,contraceptive,0,_Geometric_SMOTE,SGD,PCA,NONE,NONE,0.01,0.00,0.96,0.00,0.02,0.00
contraceptive__delaunay_PCA_area_1_RF,contraceptive,0,_delaunay_area_1,RF,PCA,area,1,0.20,0.21,0.79,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_1_KNN,contraceptive,0,_delaunay_area_1,KNN,PCA,area,1,0.19,0.16,0.82,0.16,0.25,0.11
contraceptive__delaunay_PCA_area_1_DTREE,contraceptive,0,_delaunay_area_1,DTREE,PCA,area,1,0.20,0.20,0.81,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_1_GNB,contraceptive,0,_delaunay_area_1,GNB,PCA,area,1,0.16,0.17,0.81,0.17,0.24,0.11
contraceptive__delaunay_PCA_area_1_LRG,contraceptive,0,_delaunay_area_1,LRG,PCA,area,1,0.20,0.25,0.77,0.21,0.28,0.14
