DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
colon32,SVM,0.5,7.0,0.845,2.0,0.8275,4.0,0.79,5.0,0.745,6.0,0.845,2.0,0.845,2.0,max_solid_angle,1,AUC
fertility-diagnosis,SVM,0.5,2.5,0.5,2.5,0.4888888888888889,4.0,0.4650326797385621,5.0,0.515359477124183,1.0,0.4555555555555556,7.0,0.4611111111111111,6.0,max_solid_angle,1,AUC
habermans-survival,SVM,0.5,7.0,0.5307516339869279,3.0,0.5692728758169935,1.0,0.515375816993464,4.0,0.5069035947712418,6.0,0.5410294117647059,2.0,0.5109313725490197,5.0,max_solid_angle,1,AUC
indian-liver-patient,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
ionosphere,SVM,0.7104615384615384,7.0,0.8409401709401709,3.0,0.8382735042735042,5.0,0.8486324786324788,1.0,0.8407863247863249,4.0,0.8369401709401709,6.0,0.8447863247863248,2.0,max_solid_angle,1,AUC
lsvt-voice-rehabilitation,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
ozone-eighthr,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
ozone-onehr,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
parkinsons,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
phoneme,SVM,0.7800466462336038,7.0,0.8251078575147869,4.0,0.8310835583145678,2.0,0.8336616463367454,1.0,0.8252356372823435,3.0,0.8250589741819306,5.0,0.8089125814653402,6.0,max_solid_angle,1,AUC
pima-indians-diabetes,SVM,0.5,7.0,0.5143759608665268,6.0,0.5152627533193571,5.0,0.5266680642907058,2.0,0.5179315164220826,4.0,0.5279909154437455,1.0,0.5215569531795947,3.0,max_solid_angle,1,AUC
planning-relax,SVM,0.5,3.5,0.5,3.5,0.4923076923076923,7.0,0.5,3.5,0.5,3.5,0.5,3.5,0.5,3.5,max_solid_angle,1,AUC
qsar-biodegradation,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
saheart,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
seismic-bumps,SVM,0.5,2.5,0.5,2.5,0.5,2.5,0.4989205351994668,7.0,0.4997929606625259,5.0,0.499792531120332,6.0,0.5,2.5,max_solid_angle,1,AUC
spambase,SVM,0.5,7.0,0.5709391924160185,1.0,0.5569428062283559,5.0,0.5576389581470227,4.0,0.553133456915803,6.0,0.5704015580074164,2.0,0.5658383709997641,3.0,max_solid_angle,1,AUC
spectf-heart,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
statlog-german-credit,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
statlog-german-credit-numeric,SVM,0.5,4.5,0.4992857142857143,7.0,0.5390476190476191,1.0,0.5,4.5,0.5,4.5,0.5,4.5,0.5009523809523809,2.0,max_solid_angle,1,AUC
thoracic-surgery,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
thyroid-hypothyroid,SVM,0.7630216633760429,7.0,0.9379663465973104,4.0,0.9598917337721068,3.0,0.9637513393984599,1.0,0.9610940830445708,2.0,0.931133566973833,5.0,0.9276338452061488,6.0,max_solid_angle,1,AUC
thyroid-sick-euthyroid,SVM,0.5,7.0,0.6442918031918902,3.0,0.6769476863174743,1.0,0.6715653172645946,2.0,0.6271359536672932,6.0,0.6372975031411832,4.0,0.6274608650319617,5.0,max_solid_angle,1,AUC
vertebra-column-2c,SVM,0.5,7.0,0.8299999999999998,1.5,0.8299999999999998,1.5,0.8276190476190475,3.5,0.8276190476190475,3.5,0.82,6.0,0.825,5.0,max_solid_angle,1,AUC
wdbc,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
wholesale-channel,SVM,0.7989680220422477,7.0,0.8379992207286188,4.0,0.8456202165261196,3.0,0.85144318276697,1.0,0.8512980434722106,2.0,0.8343046394478307,5.0,0.8292481422726894,6.0,max_solid_angle,1,AUC
wilt,SVM,0.5,7.0,0.7936406651427311,1.0,0.7915421906818828,2.0,0.7227143142274086,4.0,0.6125639612601308,6.0,0.7844685420820718,3.0,0.7062183597289499,5.0,max_solid_angle,1,AUC
