DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
ionosphere,SGD,0.8852307692307694,5.0,0.9043247863247864,2.0,0.9093675213675216,1.0,0.8256410256410256,7.0,0.9007692307692308,3.0,0.8966153846153846,4.0,0.852017094017094,6.0,max_solid_angle,9,AUC
lsvt-voice-rehabilitation,SGD,0.5,5.5,0.5058823529411764,4.0,0.5065359477124183,3.0,0.5,5.5,0.5176470588235293,1.0,0.5117647058823529,2.0,0.4947712418300654,7.0,max_solid_angle,9,AUC
ozone-eighthr,SGD,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
ozone-onehr,SGD,0.5,4.5,0.5,4.5,0.5,4.5,0.5002032520325204,1.0,0.5,4.5,0.5,4.5,0.5,4.5,max_solid_angle,9,AUC
parkinsons,SGD,0.5,5.0,0.5098850574712644,2.0,0.5184674329501916,1.0,0.5033333333333333,3.0,0.47,7.0,0.5,5.0,0.5,5.0,max_solid_angle,9,AUC
phoneme,SGD,0.6455419937094805,7.0,0.7307054462462836,5.0,0.7325153532596508,3.0,0.7323498412052765,4.0,0.7337190542757621,2.0,0.7353857219886646,1.0,0.6978155603075118,6.0,max_solid_angle,9,AUC
pima-indians-diabetes,SGD,0.4960349406009783,7.0,0.5673340321453529,2.0,0.530775681341719,5.0,0.5358490566037736,4.0,0.5681376659678546,1.0,0.529738644304682,6.0,0.5359238294898672,3.0,max_solid_angle,9,AUC
planning-relax,SGD,0.51,2.0,0.4737062937062938,5.0,0.4697202797202798,6.0,0.515944055944056,1.0,0.4055944055944056,7.0,0.4998601398601399,3.0,0.4854545454545455,4.0,max_solid_angle,9,AUC
qsar-biodegradation,SGD,0.6850003739463159,7.0,0.7608449337109789,2.0,0.7464410403266925,6.0,0.7675950547409155,1.0,0.7550341899518614,4.0,0.7502782763728655,5.0,0.7577419673918813,3.0,max_solid_angle,9,AUC
saheart,SGD,0.5461714480874317,4.0,0.5442110655737704,5.0,0.5650546448087431,2.0,0.5972370218579235,1.0,0.5593818306010928,3.0,0.5300819672131147,6.0,0.5296618852459016,7.0,max_solid_angle,9,AUC
seismic-bumps,SGD,0.5,7.0,0.5449804457233011,2.0,0.5181830011456142,6.0,0.5425066111597083,4.0,0.52747190162372,5.0,0.5427149391237643,3.0,0.5706889755721881,1.0,max_solid_angle,9,AUC
spambase,SGD,0.6548474779059174,6.0,0.6711511665913311,4.0,0.6586468311588566,5.0,0.6429912635980337,7.0,0.710676193799922,2.0,0.7163584599165027,1.0,0.6712719067357783,3.0,max_solid_angle,9,AUC
spectf-heart,SGD,0.5572549019607844,6.0,0.6235025799793602,5.0,0.6343446852425181,4.0,0.6846233230134161,1.0,0.6521135190918473,3.0,0.5367368421052632,7.0,0.674998968008256,2.0,max_solid_angle,9,AUC
statlog-german-credit,SGD,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
statlog-german-credit-numeric,SGD,0.5785714285714285,5.0,0.6416666666666666,1.0,0.5735714285714286,6.0,0.5835714285714285,4.0,0.5716666666666665,7.0,0.6014285714285714,3.0,0.6197619047619047,2.0,max_solid_angle,9,AUC
thoracic-surgery,SGD,0.5,6.0,0.5016071428571429,4.0,0.4991071428571429,7.0,0.5253571428571429,1.0,0.50625,2.0,0.5008928571428571,5.0,0.5037499999999999,3.0,max_solid_angle,9,AUC
thyroid-hypothyroid,SGD,0.8269821328821901,7.0,0.9624884757081238,2.0,0.9627985923275416,1.0,0.9578033029934812,4.0,0.9610330176716176,3.0,0.9569929191608492,5.0,0.9470608714723102,6.0,max_solid_angle,9,AUC
thyroid-sick-euthyroid,SGD,0.5047655363837599,7.0,0.7137547168658628,3.0,0.7068412628269223,4.0,0.7196371297018471,1.0,0.6981420690469741,5.0,0.6527007048061629,6.0,0.7149946951168602,2.0,max_solid_angle,9,AUC
vertebra-column-2c,SGD,0.6654761904761904,7.0,0.7583333333333333,4.0,0.764047619047619,3.0,0.7823809523809524,2.0,0.6845238095238095,6.0,0.8028571428571428,1.0,0.7483333333333333,5.0,max_solid_angle,9,AUC
wdbc,SGD,0.8141788716796906,3.0,0.8160555711530163,2.0,0.7572977269300558,6.0,0.8392825947935675,1.0,0.7475767395068083,7.0,0.7964806929431888,4.0,0.7919324084039119,5.0,max_solid_angle,9,AUC
wholesale-channel,SGD,0.724320085719852,7.0,0.8537637416158749,2.0,0.8100051487573404,4.0,0.8018250257437867,5.0,0.8315561771172526,3.0,0.8833220617294257,1.0,0.7665604909409701,6.0,max_solid_angle,9,AUC
wilt,SGD,0.5,7.0,0.8323367832628771,3.0,0.8350803176277779,2.0,0.7964762077879061,5.0,0.8252903808741194,4.0,0.7712604355840391,6.0,0.8752972419092482,1.0,max_solid_angle,9,AUC
