DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
parkinsons,LRG,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
phoneme,LRG,0.6877753492028507,7.0,0.7437186990776841,6.0,0.7479303208446401,3.0,0.7490509658320829,2.0,0.7528240026517651,1.0,0.7452152827469922,4.0,0.7448175500713097,5.0,max_solid_angle,9,AUC
pima-indians-diabetes,LRG,0.5089091544374563,7.0,0.5904122990915444,1.0,0.5902641509433962,2.0,0.5747106918238993,6.0,0.5753361285814116,5.0,0.5886303284416492,3.0,0.5809699510831586,4.0,max_solid_angle,9,AUC
planning-relax,LRG,0.5,1.0,0.4832867132867133,3.0,0.48293706293706296,4.0,0.44832167832167824,7.0,0.4860139860139861,2.0,0.4698601398601399,5.0,0.4651048951048951,6.0,max_solid_angle,9,AUC
qsar-biodegradation,LRG,0.6213248636503272,7.0,0.7959944720280114,6.0,0.8050259912794109,2.0,0.8084618381753349,1.0,0.8041818215447762,3.0,0.798752129081443,5.0,0.8001904190932967,4.0,max_solid_angle,9,AUC
saheart,LRG,0.5,7.0,0.566707650273224,6.0,0.5827493169398906,1.0,0.5687363387978142,5.0,0.5704030054644809,4.0,0.5722780054644808,2.0,0.5716803278688525,3.0,max_solid_angle,9,AUC
seismic-bumps,LRG,0.5,7.0,0.5262619065306079,4.0,0.5128821472662671,6.0,0.5406760033979314,1.0,0.5362028773262868,2.0,0.5248117720839012,5.0,0.5293283071843206,3.0,max_solid_angle,9,AUC
spambase,LRG,0.6422081252848372,7.0,0.7620597636384173,6.0,0.7708277455066569,1.0,0.7691008850005653,2.0,0.7661745336271961,3.0,0.7620624858953421,5.0,0.7649706148522724,4.0,max_solid_angle,9,AUC
spectf-heart,LRG,0.5,3.0,0.4973808049535604,4.5,0.4940784313725491,6.5,0.5079071207430341,1.0,0.4940784313725491,6.5,0.5046047471620227,2.0,0.4973808049535604,4.5,max_solid_angle,9,AUC
statlog-german-credit,LRG,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
statlog-german-credit-numeric,LRG,0.5230952380952381,7.0,0.6297619047619049,5.0,0.6195238095238096,6.0,0.635,2.0,0.6397619047619048,1.0,0.6335714285714287,3.0,0.6321428571428571,4.0,max_solid_angle,9,AUC
thoracic-surgery,LRG,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
thyroid-hypothyroid,LRG,0.8055835689554941,7.0,0.9434707735213832,5.0,0.9553248475587268,3.0,0.9615655904025756,2.0,0.9644138628829204,1.0,0.9471363327683378,4.0,0.9429727101284916,6.0,max_solid_angle,9,AUC
thyroid-sick-euthyroid,LRG,0.5032448371573972,7.0,0.7167780929708771,3.0,0.6932551618243911,6.0,0.7155113357512468,4.0,0.7144187945594911,5.0,0.7173007410545007,2.0,0.7197397654447448,1.0,max_solid_angle,9,AUC
vertebra-column-2c,LRG,0.6323809523809524,7.0,0.8164285714285715,1.0,0.8016666666666667,6.0,0.8066666666666666,4.0,0.8042857142857143,5.0,0.8114285714285714,2.5,0.8114285714285714,2.5,max_solid_angle,9,AUC
wdbc,LRG,0.7057032115171651,7.0,0.8765275113211569,4.5,0.8783813345187405,1.0,0.8778900145056385,2.5,0.8778900145056385,2.5,0.8765275113211569,4.5,0.8742019299258083,6.0,max_solid_angle,9,AUC
wholesale-channel,LRG,0.8106327405304612,7.0,0.8393046394478304,4.0,0.8504103698755949,3.0,0.8613262920597814,1.0,0.8562113495310456,2.0,0.8323716289554979,6.0,0.8341896969190948,5.0,max_solid_angle,9,AUC
wilt,LRG,0.5,7.0,0.7564471034988907,1.0,0.7460736298285481,4.0,0.7188713999826072,5.0,0.7142676343287333,6.0,0.7499496071247401,2.0,0.7462555666578455,3.0,max_solid_angle,9,AUC
