DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
phoneme,DTREE,0.8173855006123829,6.0,0.8311003285045795,4.0,0.835847966449205,1.0,0.8313303688950308,3.0,0.8200421889920149,5.0,0.8333273500489271,2.0,area_volume_ratio,4,AUC
pima-indians-diabetes,DTREE,0.5814116002795248,3.0,0.6149853249475891,1.0,0.5995534591194968,2.0,0.5748518518518518,5.0,0.5740041928721175,6.0,0.5793291404612161,4.0,area_volume_ratio,4,AUC
planning-relax,DTREE,0.5020979020979021,3.0,0.4913286713286714,4.0,0.4619580419580419,6.0,0.5064335664335665,2.0,0.551048951048951,1.0,0.4776923076923077,5.0,area_volume_ratio,4,AUC
qsar-biodegradation,DTREE,0.7865760952606125,5.0,0.7950508164896654,4.0,0.8097683342259794,2.0,0.8132427458435665,1.0,0.8053736487671029,3.0,0.7831022264683223,6.0,area_volume_ratio,4,AUC
saheart,DTREE,0.6083196721311476,5.0,0.6054508196721311,6.0,0.6088285519125682,4.0,0.6137192622950819,3.0,0.6235484972677596,2.0,0.6280498633879781,1.0,area_volume_ratio,4,AUC
seismic-bumps,DTREE,0.5618070536892369,6.0,0.5666944100389569,4.0,0.5802392903760818,3.0,0.597927256776786,2.0,0.6186829882593485,1.0,0.5631281738746374,5.0,area_volume_ratio,4,AUC
spambase,DTREE,0.9066218085448264,2.0,0.8997811703877705,5.0,0.9064648697272346,3.0,0.910068777058816,1.0,0.9005182514010274,4.0,0.885611002994307,6.0,area_volume_ratio,4,AUC
spectf-heart,DTREE,0.8901919504643961,2.0,0.8830319917440659,4.0,0.8877543859649123,3.0,0.8902311661506708,1.0,0.8595025799793602,5.0,0.8535562435500514,6.0,area_volume_ratio,4,AUC
statlog-german-credit,DTREE,0.6185714285714285,3.0,0.6076190476190475,5.0,0.6204761904761905,1.0,0.6052380952380952,6.0,0.6188095238095238,2.0,0.6154761904761905,4.0,area_volume_ratio,4,AUC
statlog-german-credit-numeric,DTREE,0.6185714285714285,4.0,0.6223809523809524,3.0,0.6371428571428572,1.0,0.6178571428571429,5.0,0.6226190476190476,2.0,0.6171428571428571,6.0,area_volume_ratio,4,AUC
thoracic-surgery,DTREE,0.5275000000000001,5.0,0.5492857142857142,1.0,0.5453571428571429,2.0,0.5278571428571428,4.0,0.5103571428571427,6.0,0.5441071428571428,3.0,area_volume_ratio,4,AUC
thyroid-hypothyroid,DTREE,0.8851672904011363,6.0,0.9491280353848234,1.0,0.9333408743088402,2.0,0.9184049974824908,4.0,0.9176045699413482,5.0,0.9240782921387776,3.0,area_volume_ratio,4,AUC
thyroid-sick-euthyroid,DTREE,0.8612819896671873,5.0,0.9000299354250118,1.0,0.8817050770073536,3.0,0.8987306972510319,2.0,0.8655712066012704,4.0,0.8610440335846958,6.0,area_volume_ratio,4,AUC
vertebra-column-2c,DTREE,0.7695238095238095,6.0,0.8092857142857142,1.0,0.7921428571428571,3.0,0.7949999999999999,2.0,0.7783333333333333,5.0,0.7895238095238095,4.0,area_volume_ratio,4,AUC
wdbc,DTREE,0.9175024306042976,4.0,0.9283206344007195,1.0,0.9222056499201928,3.0,0.9125840313197012,5.0,0.9101571314190048,6.0,0.9261934657037834,2.0,area_volume_ratio,4,AUC
wholesale-channel,DTREE,0.8572225933038323,1.0,0.8377289805460467,4.0,0.8433522584954496,3.0,0.844692187804403,2.0,0.8265506108931007,6.0,0.8292563524533133,5.0,area_volume_ratio,4,AUC
wilt,DTREE,0.8383539727178742,6.0,0.8761486783420459,4.0,0.8868202384553008,2.0,0.8576821833319983,5.0,0.8968496902897469,1.0,0.8830727277689284,3.0,area_volume_ratio,4,AUC
