DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
ozone-onehr,DTREE,0.2,5.0,0.26,4.0,0.18,6.0,0.268,3.0,0.316,1.0,0.302,2.0,max_solid_angle,4,IBA
parkinsons,DTREE,0.6579999999999999,5.0,0.6399999999999999,6.0,0.7959999999999999,1.0,0.718,3.0,0.674,4.0,0.7879999999999999,2.0,max_solid_angle,4,IBA
phoneme,DTREE,0.6639999999999999,6.0,0.69,3.0,0.7,1.0,0.6920000000000001,2.0,0.672,5.0,0.6859999999999999,4.0,max_solid_angle,4,IBA
pima-indians-diabetes,DTREE,0.326,5.0,0.378,1.0,0.35800000000000004,2.0,0.328,3.5,0.328,3.5,0.28800000000000003,6.0,max_solid_angle,4,IBA
planning-relax,DTREE,0.2280000000000001,3.0,0.226,4.5,0.17800000000000002,6.0,0.226,4.5,0.30000000000000004,1.0,0.262,2.0,max_solid_angle,4,IBA
qsar-biodegradation,DTREE,0.618,6.0,0.6340000000000001,4.0,0.6559999999999999,2.0,0.662,1.0,0.6479999999999999,3.0,0.62,5.0,max_solid_angle,4,IBA
saheart,DTREE,0.362,5.0,0.36,6.0,0.364,4.0,0.374,3.0,0.388,2.0,0.406,1.0,max_solid_angle,4,IBA
seismic-bumps,DTREE,0.188,6.0,0.244,4.0,0.238,5.0,0.276,3.0,0.326,1.0,0.32199999999999995,2.0,max_solid_angle,4,IBA
spambase,DTREE,0.8240000000000001,2.0,0.8100000000000002,4.5,0.8220000000000001,3.0,0.828,1.0,0.8099999999999999,4.5,0.8039999999999999,6.0,max_solid_angle,4,IBA
spectf-heart,DTREE,0.792,2.0,0.7759999999999999,4.0,0.784,3.0,0.794,1.0,0.732,6.0,0.77,5.0,max_solid_angle,4,IBA
statlog-german-credit,DTREE,0.366,4.0,0.358,6.0,0.376,3.0,0.36000000000000004,5.0,0.382,2.0,0.392,1.0,max_solid_angle,4,IBA
statlog-german-credit-numeric,DTREE,0.366,5.5,0.382,3.0,0.398,1.0,0.37,4.0,0.386,2.0,0.366,5.5,max_solid_angle,4,IBA
thoracic-surgery,DTREE,0.17600000000000002,6.0,0.258,2.0,0.238,3.0,0.226,4.0,0.214,5.0,0.28,1.0,max_solid_angle,4,IBA
thyroid-hypothyroid,DTREE,0.7859999999999999,6.0,0.906,1.0,0.8779999999999999,2.0,0.85,3.0,0.8460000000000001,4.0,0.8440000000000001,5.0,max_solid_angle,4,IBA
thyroid-sick-euthyroid,DTREE,0.74,6.0,0.8119999999999999,1.0,0.78,3.0,0.8099999999999999,2.0,0.752,5.0,0.7659999999999999,4.0,max_solid_angle,4,IBA
vertebra-column-2c,DTREE,0.5860000000000001,5.0,0.6559999999999999,1.0,0.6239999999999999,3.0,0.6359999999999999,2.0,0.61,4.0,0.5760000000000001,6.0,max_solid_angle,4,IBA
wdbc,DTREE,0.8440000000000001,4.0,0.8619999999999999,2.0,0.852,3.0,0.836,5.0,0.826,6.0,0.8779999999999999,1.0,max_solid_angle,4,IBA
wholesale-channel,DTREE,0.732,1.0,0.7,4.0,0.71,3.0,0.7120000000000001,2.0,0.6839999999999999,6.0,0.69,5.0,max_solid_angle,4,IBA
wilt,DTREE,0.7020000000000001,6.0,0.772,4.0,0.79,3.0,0.736,5.0,0.8099999999999999,1.0,0.8019999999999999,2.0,max_solid_angle,4,IBA
