,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
16,PCA,seismic-bumps,_SMOTE,QDA,NONE,NONE,0.8939999999999999,0.778,0.334,0.8079999999999999,0.33399999999999996,0.17800000000000002,0.5562107505820297
17,PCA,seismic-bumps,_SMOTE,RF,NONE,NONE,0.8960000000000001,0.8800000000000001,0.292,0.89,0.476,0.24,0.5872816346455595
18,PCA,seismic-bumps,_SMOTE,SGD,NONE,NONE,0.9,0.74,0.30600000000000005,0.72,0.238,0.07799999999999999,0.5247764485552475
19,PCA,seismic-bumps,_SMOTE,SVM,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
20,PCA,seismic-bumps,_Borderline1,ABC,NONE,NONE,0.906,0.8240000000000001,0.48,0.858,0.62,0.4,0.6514922801160876
21,PCA,seismic-bumps,_Borderline1,DTREE,NONE,NONE,0.8940000000000001,0.8479999999999999,0.32799999999999996,0.8699999999999999,0.506,0.268,0.5896383810605246
22,PCA,seismic-bumps,_Borderline1,GNB,NONE,NONE,0.9200000000000002,0.43200000000000005,0.836,0.542,0.588,0.334,0.6334615895790032
23,PCA,seismic-bumps,_Borderline1,KNN,NONE,NONE,0.898,0.8420000000000001,0.38,0.8640000000000001,0.5479999999999999,0.31799999999999995,0.6111856577377478
24,PCA,seismic-bumps,_Borderline1,LRG,NONE,NONE,0.8879999999999999,0.902,0.162,0.8939999999999999,0.316,0.10800000000000001,0.5305727667216986
25,PCA,seismic-bumps,_Borderline1,MLP,NONE,NONE,0.906,0.8019999999999999,0.502,0.8400000000000001,0.628,0.406,0.6519047164238236
26,PCA,seismic-bumps,_Borderline1,QDA,NONE,NONE,0.8880000000000001,0.7700000000000001,0.31399999999999995,0.8019999999999999,0.396,0.182,0.5415785220817535
27,PCA,seismic-bumps,_Borderline1,RF,NONE,NONE,0.898,0.898,0.27,0.898,0.4560000000000001,0.22399999999999998,0.5835940401778609
28,PCA,seismic-bumps,_Borderline1,SGD,NONE,NONE,0.8960000000000001,0.8219999999999998,0.316,0.8459999999999999,0.418,0.20800000000000002,0.568668788099761
29,PCA,seismic-bumps,_Borderline1,SVM,NONE,NONE,0.8759999999999999,0.914,0.094,0.8939999999999999,0.13,0.03,0.5045609548167093
30,PCA,seismic-bumps,_Borderline2,ABC,NONE,NONE,0.908,0.8219999999999998,0.5119999999999999,0.8559999999999999,0.64,0.4260000000000001,0.6674787288178848
31,PCA,seismic-bumps,_Borderline2,DTREE,NONE,NONE,0.898,0.8460000000000001,0.35600000000000004,0.8699999999999999,0.518,0.294,0.6004143818812028
32,PCA,seismic-bumps,_Borderline2,GNB,NONE,NONE,0.9179999999999999,0.44799999999999995,0.8119999999999999,0.5579999999999999,0.5920000000000001,0.336,0.6295695330269939
33,PCA,seismic-bumps,_Borderline2,KNN,NONE,NONE,0.9,0.818,0.4280000000000001,0.8540000000000001,0.5820000000000001,0.35200000000000004,0.6246071836636513
34,PCA,seismic-bumps,_Borderline2,LRG,NONE,NONE,0.884,0.902,0.14,0.892,0.276,0.08399999999999999,0.5204643755391386
