MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,colon32,_train,SVM,NONE,NONE,0.416,0.65,0.35000000000000003,0.506,0.0,0.0,0.5
PCA,fertility-diagnosis,_train,ABC,NONE,NONE,0.782,0.82,0.2,0.8,0.13,0.086,0.5101307189542483
PCA,fertility-diagnosis,_train,DTREE,NONE,NONE,0.8079999999999999,0.79,0.34,0.8,0.3720000000000001,0.24,0.5650326797385621
PCA,fertility-diagnosis,_train,GNB,NONE,NONE,0.8,0.8420000000000001,0.2,0.818,0.142,0.104,0.5218954248366013
PCA,fertility-diagnosis,_train,KNN,NONE,NONE,0.7719999999999999,0.85,0.116,0.8119999999999999,0.0,0.0,0.4833333333333333
PCA,fertility-diagnosis,_train,LRG,NONE,NONE,0.774,0.8800000000000001,0.12,0.826,0.0,0.0,0.5
PCA,fertility-diagnosis,_train,MLP,NONE,NONE,0.7719999999999999,0.85,0.116,0.812,0.0,0.0,0.4833333333333333
PCA,fertility-diagnosis,_train,QDA,NONE,NONE,0.774,0.86,0.116,0.818,0.0,0.0,0.4888888888888889
PCA,fertility-diagnosis,_train,RF,NONE,NONE,0.7879999999999999,0.86,0.206,0.8220000000000001,0.134,0.092,0.5330065359477125
PCA,fertility-diagnosis,_train,SGD,NONE,NONE,0.8059999999999999,0.8300000000000001,0.256,0.8160000000000001,0.24000000000000005,0.15,0.5434640522875817
PCA,fertility-diagnosis,_train,SVM,NONE,NONE,0.774,0.8800000000000001,0.12,0.826,0.0,0.0,0.5
PCA,habermans-survival,_train,ABC,NONE,NONE,0.6559999999999999,0.6960000000000001,0.384,0.662,0.42,0.184,0.5403349673202614
PCA,habermans-survival,_train,DTREE,NONE,NONE,0.6399999999999999,0.624,0.4560000000000001,0.63,0.504,0.26,0.5397794117647059
PCA,habermans-survival,_train,GNB,NONE,NONE,0.71,0.748,0.412,0.7020000000000001,0.4400000000000001,0.21600000000000005,0.5795506535947712
PCA,habermans-survival,_train,KNN,NONE,NONE,0.7,0.728,0.45399999999999996,0.708,0.508,0.274,0.5911192810457516
