DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,ABC,0.14600000000000002,7.0,0.15200000000000002,4.0,0.15200000000000002,4.0,0.152,4.0,0.14800000000000002,6.0,0.168,1.0,0.15400000000000005,2.0,radius_ratio,9,IBA
dermatology,ABC,0.35200000000000004,1.5,0.35200000000000004,1.5,0.29400000000000004,5.0,0.28600000000000003,6.0,0.21,7.0,0.29600000000000004,4.0,0.324,3.0,radius_ratio,9,IBA
glass,ABC,0.16,7.0,0.212,4.0,0.254,1.0,0.188,5.0,0.214,3.0,0.18000000000000002,6.0,0.2240000000000001,2.0,radius_ratio,9,IBA
new-thyroid,ABC,0.11,2.0,0.098,4.0,0.12000000000000002,1.0,0.098,4.0,0.08199999999999999,7.0,0.09,6.0,0.098,4.0,radius_ratio,9,IBA
penbased,ABC,0.18,1.0,0.17,5.0,0.17,5.0,0.17,5.0,0.17,5.0,0.174,2.0,0.17,5.0,radius_ratio,9,IBA
thyroid,ABC,0.604,6.0,0.628,5.0,0.522,7.0,0.7040000000000001,1.0,0.632,4.0,0.654,2.5,0.654,2.5,radius_ratio,9,IBA
wine,ABC,0.252,2.0,0.212,7.0,0.236,5.0,0.248,3.0,0.254,1.0,0.24,4.0,0.2280000000000001,6.0,radius_ratio,9,IBA
