DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,SVM,0.0,5.0,0.002,1.5,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.002,1.5,radius_ratio,9,IBA
dermatology,SVM,0.0,7.0,0.038,2.0,0.036000000000000004,3.0,0.034,4.0,0.016,6.0,0.042,1.0,0.03,5.0,radius_ratio,9,IBA
glass,SVM,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,radius_ratio,9,IBA
new-thyroid,SVM,0.0,7.0,0.05800000000000001,2.0,0.05800000000000001,2.0,0.046000000000000006,4.5,0.046000000000000006,4.5,0.05800000000000001,2.0,0.036000000000000004,6.0,radius_ratio,9,IBA
penbased,SVM,0.542,7.0,0.6399999999999999,4.5,0.64,4.5,0.644,1.0,0.642,2.0,0.6399999999999999,4.5,0.6399999999999999,4.5,radius_ratio,9,IBA
thyroid,SVM,0.0,7.0,0.076,5.0,0.038,6.0,0.11,2.0,0.092,4.0,0.094,3.0,0.28800000000000003,1.0,radius_ratio,9,IBA
wine,SVM,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,radius_ratio,9,IBA
