DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,GNB,0.198,2.0,0.19,4.5,0.19,4.5,0.188,6.5,0.188,6.5,0.2,1.0,0.192,3.0,max_solid_angle,1,F1
dermatology,GNB,0.4779999999999999,3.5,0.48200000000000004,1.5,0.4779999999999999,3.5,0.48200000000000004,1.5,0.454,5.0,0.402,7.0,0.428,6.0,max_solid_angle,1,F1
glass,GNB,0.30600000000000005,4.5,0.314,2.0,0.34,1.0,0.312,3.0,0.29600000000000004,7.0,0.30600000000000005,4.5,0.30000000000000004,6.0,max_solid_angle,1,F1
new-thyroid,GNB,0.13,4.5,0.132,2.0,0.132,2.0,0.132,2.0,0.13,4.5,0.128,6.5,0.128,6.5,max_solid_angle,1,F1
penbased,GNB,0.6839999999999999,6.0,0.6859999999999999,3.0,0.6839999999999999,6.0,0.6839999999999999,6.0,0.6859999999999999,3.0,0.69,1.0,0.6859999999999999,3.0,max_solid_angle,1,F1
thyroid,GNB,0.202,7.0,0.204,6.0,0.2240000000000001,5.0,0.302,2.0,0.3,3.0,0.38,1.0,0.29799999999999993,4.0,max_solid_angle,1,F1
wine,GNB,0.28800000000000003,4.0,0.29,3.0,0.28600000000000003,5.0,0.294,1.5,0.294,1.5,0.278,6.0,0.276,7.0,max_solid_angle,1,F1
