DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,KNN,0.14400000000000002,1.0,0.136,4.0,0.14200000000000002,2.0,0.128,7.0,0.134,5.0,0.14,3.0,0.132,6.0,edge_ratio,1,IBA
dermatology,KNN,0.502,3.5,0.51,1.0,0.504,2.0,0.502,3.5,0.4920000000000001,7.0,0.494,6.0,0.5,5.0,edge_ratio,1,IBA
glass,KNN,0.202,7.0,0.242,6.0,0.25,5.0,0.252,4.0,0.256,3.0,0.26,2.0,0.268,1.0,edge_ratio,1,IBA
new-thyroid,KNN,0.122,5.0,0.126,4.0,0.132,2.0,0.132,2.0,0.132,2.0,0.12,6.5,0.12,6.5,edge_ratio,1,IBA
penbased,KNN,0.76,7.0,0.7659999999999999,4.5,0.764,6.0,0.77,1.5,0.77,1.5,0.768,3.0,0.7659999999999999,4.5,edge_ratio,1,IBA
thyroid,KNN,0.13599999999999998,7.0,0.25999999999999995,3.0,0.248,4.0,0.276,2.0,0.292,1.0,0.15,6.0,0.23399999999999999,5.0,edge_ratio,1,IBA
wine,KNN,0.17600000000000002,6.0,0.21,1.0,0.198,3.0,0.188,4.0,0.2,2.0,0.16600000000000004,7.0,0.18600000000000005,5.0,edge_ratio,1,IBA
