DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,QDA,0.272,1.5,0.264,6.0,0.268,3.5,0.264,6.0,0.264,6.0,0.272,1.5,0.268,3.5,aspect_ratio,4,GEO
dermatology,QDA,0.5,2.0,0.4779999999999999,3.5,0.476,5.0,0.46799999999999997,6.0,0.4779999999999999,3.5,0.51,1.0,0.4440000000000001,7.0,aspect_ratio,4,GEO
glass,QDA,0.08399999999999999,3.0,0.0,5.5,0.0,5.5,0.0,5.5,0.0,5.5,0.336,2.0,0.41,1.0,aspect_ratio,4,GEO
new-thyroid,QDA,0.136,3.0,0.134,5.5,0.134,5.5,0.134,5.5,0.138,1.5,0.138,1.5,0.134,5.5,aspect_ratio,4,GEO
penbased,QDA,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.6280000000000001,1.0,0.158,2.0,aspect_ratio,4,GEO
thyroid,QDA,0.512,2.0,0.218,5.0,0.0,7.0,0.20800000000000002,6.0,0.362,4.0,0.5800000000000001,1.0,0.406,3.0,aspect_ratio,4,GEO
wine,QDA,0.28,5.0,0.282,2.0,0.28,5.0,0.28,5.0,0.28,5.0,0.306,1.0,0.28,5.0,aspect_ratio,4,GEO
