DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,LRG,0.28400000000000003,1.0,0.258,5.5,0.252,7.0,0.258,5.5,0.262,3.5,0.262,3.5,0.264,2.0,radius_ratio,4,REC
dermatology,LRG,0.368,7.0,0.502,1.0,0.494,3.0,0.4560000000000001,5.0,0.442,6.0,0.488,4.0,0.4980000000000001,2.0,radius_ratio,4,REC
glass,LRG,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,radius_ratio,4,REC
new-thyroid,LRG,0.16,7.0,0.16799999999999998,4.5,0.19,3.0,0.228,1.5,0.228,1.5,0.16399999999999998,6.0,0.168,4.5,radius_ratio,4,REC
penbased,LRG,0.6699999999999999,7.0,0.6839999999999999,1.5,0.68,6.0,0.682,4.0,0.682,4.0,0.682,4.0,0.684,1.5,radius_ratio,4,REC
thyroid,LRG,0.9259999999999999,1.0,0.82,4.0,0.912,2.0,0.8,6.0,0.804,5.0,0.828,3.0,0.6880000000000001,7.0,radius_ratio,4,REC
wine,LRG,0.0,7.0,0.052000000000000005,4.0,0.052000000000000005,4.0,0.057999999999999996,1.0,0.052000000000000005,4.0,0.052000000000000005,4.0,0.052000000000000005,4.0,radius_ratio,4,REC
