DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,SGD,0.274,1.0,0.2280000000000001,3.5,0.20600000000000002,6.0,0.22000000000000008,5.0,0.264,2.0,0.2280000000000001,3.5,0.192,7.0,area_volume_ratio,9,REC
dermatology,SGD,0.328,7.0,0.39,5.0,0.48,1.5,0.48,1.5,0.37,6.0,0.4400000000000001,4.0,0.466,3.0,area_volume_ratio,9,REC
glass,SGD,0.324,1.0,0.18,6.0,0.276,3.0,0.28,2.0,0.23,5.0,0.162,7.0,0.254,4.0,area_volume_ratio,9,REC
new-thyroid,SGD,0.16,5.0,0.16399999999999998,3.5,0.16399999999999998,3.5,0.18,2.0,0.21,1.0,0.154,6.0,0.15,7.0,area_volume_ratio,9,REC
penbased,SGD,0.642,7.0,0.6779999999999999,3.5,0.69,2.0,0.6579999999999999,6.0,0.662,5.0,0.6779999999999999,3.5,0.696,1.0,area_volume_ratio,9,REC
thyroid,SGD,0.924,1.0,0.748,5.0,0.7659999999999999,4.0,0.6799999999999999,6.0,0.8,3.0,0.602,7.0,0.8099999999999999,2.0,area_volume_ratio,9,REC
wine,SGD,0.194,4.0,0.07200000000000001,6.0,0.212,2.0,0.276,1.0,0.06,7.0,0.202,3.0,0.12,5.0,area_volume_ratio,9,REC
