,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
17,PCA,dermatology,_train,RF,NONE,NONE,0.522,0.514,0.9359999999999999,0.516,0.524,0.508
18,PCA,dermatology,_train,SGD,NONE,NONE,0.362,0.328,0.914,0.306,0.336,0.284
19,PCA,dermatology,_train,SVM,NONE,NONE,0.03,0.168,0.8320000000000001,0.048,0.0,0.0
20,PCA,glass,_train,ABC,NONE,NONE,0.21600000000000005,0.28200000000000003,0.8280000000000001,0.2260000000000001,0.24599999999999994,0.16
21,PCA,glass,_train,DTREE,NONE,NONE,0.28,0.276,0.8360000000000001,0.266,0.342,0.2260000000000001
22,PCA,glass,_train,GNB,NONE,NONE,0.292,0.36,0.826,0.30600000000000005,0.368,0.258
23,PCA,glass,_train,KNN,NONE,NONE,0.26,0.26,0.7959999999999999,0.254,0.304,0.202
24,PCA,glass,_train,LRG,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
25,PCA,glass,_train,MLP,NONE,NONE,0.214,0.184,0.8859999999999999,0.19,0.2220000000000001,0.14200000000000002
26,PCA,glass,_train,QDA,NONE,NONE,0.07,0.13200000000000006,0.9259999999999999,0.08,0.08399999999999999,0.064
27,PCA,glass,_train,RF,NONE,NONE,0.28600000000000003,0.254,0.8079999999999999,0.26,0.308,0.22399999999999998
28,PCA,glass,_train,SGD,NONE,NONE,0.188,0.324,0.784,0.23000000000000004,0.214,0.15
29,PCA,glass,_train,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
30,PCA,new-thyroid,_train,ABC,NONE,NONE,0.14,0.122,0.86,0.128,0.132,0.11
31,PCA,new-thyroid,_train,DTREE,NONE,NONE,0.128,0.118,0.8619999999999999,0.122,0.128,0.11199999999999999
32,PCA,new-thyroid,_train,GNB,NONE,NONE,0.136,0.124,0.86,0.13,0.132,0.11599999999999999
33,PCA,new-thyroid,_train,KNN,NONE,NONE,0.14,0.128,0.86,0.134,0.134,0.122
34,PCA,new-thyroid,_train,LRG,NONE,NONE,0.03,0.16,0.8400000000000001,0.05,0.0,0.0
35,PCA,new-thyroid,_train,MLP,NONE,NONE,0.156,0.17600000000000002,0.8560000000000001,0.136,0.14400000000000002,0.092
36,PCA,new-thyroid,_train,QDA,NONE,NONE,0.136,0.128,0.86,0.132,0.136,0.118
37,PCA,new-thyroid,_train,RF,NONE,NONE,0.136,0.124,0.8619999999999999,0.13,0.132,0.11599999999999999
38,PCA,new-thyroid,_train,SGD,NONE,NONE,0.12800000000000006,0.16,0.86,0.10400000000000001,0.102,0.06200000000000001
39,PCA,new-thyroid,_train,SVM,NONE,NONE,0.03,0.16,0.8400000000000001,0.05,0.0,0.0
40,PCA,penbased,_train,ABC,NONE,NONE,0.14200000000000002,0.244,0.93,0.16,0.238,0.18
41,PCA,penbased,_train,DTREE,NONE,NONE,0.7300000000000001,0.726,0.98,0.728,0.7759999999999999,0.71
42,PCA,penbased,_train,GNB,NONE,NONE,0.7040000000000001,0.6799999999999999,0.976,0.6839999999999999,0.742,0.664
43,PCA,penbased,_train,KNN,NONE,NONE,0.7699999999999999,0.764,0.988,0.7659999999999999,0.7759999999999999,0.76
44,PCA,penbased,_train,LRG,NONE,NONE,0.69,0.6699999999999999,0.978,0.6679999999999999,0.7340000000000001,0.6540000000000001
45,PCA,penbased,_train,MLP,NONE,NONE,0.768,0.76,0.982,0.7619999999999999,0.782,0.7540000000000001
46,PCA,penbased,_train,QDA,NONE,NONE,0.01,0.1,0.9,0.02,0.0,0.0
47,PCA,penbased,_train,RF,NONE,NONE,0.7759999999999999,0.774,0.988,0.7759999999999999,0.7859999999999999,0.768
48,PCA,penbased,_train,SGD,NONE,NONE,0.6679999999999999,0.642,0.974,0.6340000000000001,0.6940000000000001,0.618
49,PCA,penbased,_train,SVM,NONE,NONE,0.5920000000000001,0.5700000000000001,0.968,0.5599999999999999,0.638,0.542
50,PCA,thyroid,_train,ABC,NONE,NONE,0.9,0.898,0.684,0.9,0.73,0.604
