DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,DTREE,0.198,1.0,0.196,2.0,0.182,6.5,0.182,6.5,0.194,3.0,0.188,5.0,0.19,4.0,edge_ratio,9,F1
dermatology,DTREE,0.5,3.0,0.504,1.5,0.488,6.5,0.4980000000000001,4.5,0.4980000000000001,4.5,0.488,6.5,0.504,1.5,edge_ratio,9,F1
glass,DTREE,0.266,3.0,0.262,5.0,0.248,7.0,0.306,1.0,0.274,2.0,0.264,4.0,0.256,6.0,edge_ratio,9,F1
new-thyroid,DTREE,0.122,6.0,0.136,1.5,0.132,4.0,0.134,3.0,0.12,7.0,0.128,5.0,0.136,1.5,edge_ratio,9,F1
penbased,DTREE,0.728,1.0,0.72,3.0,0.7099999999999999,6.5,0.7100000000000001,6.5,0.7140000000000001,5.0,0.722,2.0,0.716,4.0,edge_ratio,9,F1
thyroid,DTREE,0.908,3.0,0.906,5.0,0.904,6.5,0.908,3.0,0.91,1.0,0.908,3.0,0.904,6.5,edge_ratio,9,F1
wine,DTREE,0.29200000000000004,1.0,0.29000000000000004,2.0,0.284,5.0,0.28800000000000003,3.0,0.276,6.5,0.28600000000000003,4.0,0.276,6.5,edge_ratio,9,F1
