DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,QDA,0.194,1.5,0.18600000000000005,7.0,0.188,5.0,0.188,5.0,0.188,5.0,0.194,1.5,0.192,3.0,area,1,F1
dermatology,QDA,0.454,2.0,0.43,3.0,0.42,5.0,0.41200000000000003,6.0,0.424,4.0,0.4779999999999999,1.0,0.35200000000000004,7.0,area,1,F1
glass,QDA,0.08,3.0,0.004,5.5,0.004,5.5,0.004,5.5,0.004,5.5,0.278,2.0,0.348,1.0,area,1,F1
new-thyroid,QDA,0.132,5.0,0.132,5.0,0.132,5.0,0.132,5.0,0.132,5.0,0.134,1.5,0.134,1.5,area,1,F1
penbased,QDA,0.02,5.0,0.02,5.0,0.02,5.0,0.02,5.0,0.02,5.0,0.62,1.0,0.32,2.0,area,1,F1
thyroid,QDA,0.6120000000000001,6.0,0.8720000000000001,2.0,0.8860000000000001,1.0,0.8539999999999999,3.0,0.774,4.0,0.624,5.0,0.48,7.0,area,1,F1
wine,QDA,0.27,5.5,0.272,2.5,0.27,5.5,0.27,5.5,0.27,5.5,0.272,2.5,0.274,1.0,area,1,F1
