DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
contraceptive,DTREE,0.7979999999999999,4.5,0.804,2.0,0.794,7.0,0.8,3.0,0.8079999999999999,1.0,0.7979999999999999,4.5,0.7959999999999999,6.0,area,9,SPE
dermatology,DTREE,0.9359999999999999,4.5,0.9359999999999999,4.5,0.93,7.0,0.9359999999999999,4.5,0.938,1.5,0.938,1.5,0.9359999999999999,4.5,area,9,SPE
glass,DTREE,0.8360000000000001,4.0,0.8539999999999999,2.0,0.8280000000000001,7.0,0.858,1.0,0.8340000000000001,5.5,0.8340000000000001,5.5,0.8399999999999999,3.0,area,9,SPE
new-thyroid,DTREE,0.8619999999999999,6.0,0.8619999999999999,6.0,0.866,3.5,0.866,3.5,0.8720000000000001,1.0,0.868,2.0,0.8619999999999999,6.0,area,9,SPE
penbased,DTREE,0.98,3.5,0.98,3.5,0.98,3.5,0.98,3.5,0.978,7.0,0.98,3.5,0.98,3.5,area,9,SPE
thyroid,DTREE,0.716,7.0,0.768,3.0,0.74,5.0,0.7180000000000001,6.0,0.882,1.0,0.7959999999999999,2.0,0.742,4.0,area,9,SPE
wine,DTREE,0.7860000000000001,1.5,0.784,3.0,0.7819999999999999,4.0,0.7859999999999999,1.5,0.772,6.0,0.7739999999999999,5.0,0.768,7.0,area,9,SPE
